City,State,code,population
New York city,New York,NY,"8,478,072"
Los Angeles city,California,CA,"3,878,704"
Chicago city,Illinois,IL,"2,721,308"
Houston city,Texas,TX,"2,390,125"
Phoenix city,Arizona,AZ,"1,673,164"
Philadelphia city,Pennsylvania,PA,"1,573,916"
San Antonio city,Texas,TX,"1,526,656"
San Diego city,California,CA,"1,404,452"
Dallas city,Texas,TX,"1,326,087"
Jacksonville city,Florida,FL,"1,009,833"
Fort Worth city,Texas,TX,"1,008,106"
San Jose city,California,CA,"997,368"
Austin city,Texas,TX,"993,588"
Charlotte city,North Carolina,NC,"943,476"
Columbus city,Ohio,OH,"933,263"
Indianapolis city (balance),Indiana,IN,"891,484"
San Francisco city,California,CA,"827,526"
Seattle city,Washington,WA,"780,995"
Denver city,Colorado,CO,"729,019"
Oklahoma City city,Oklahoma,OK,"712,919"
Nashville-Davidson metropolitan government (balance),Tennessee,TN,"704,963"
Washington city,District of Columbia,DC,"702,250"
El Paso city,Texas,TX,"681,723"
Las Vegas city,Nevada,NV,"678,922"
Boston city,Massachusetts,MA,"673,458"
Detroit city,Michigan,MI,"645,705"
Louisville/Jefferson County metro government (balance),Kentucky,KY,"640,796"
Portland city,Oregon,OR,"635,749"
Memphis city,Tennessee,TN,"610,919"
Baltimore city,Maryland,MD,"568,271"
Milwaukee city,Wisconsin,WI,"563,531"
Albuquerque city,New Mexico,NM,"560,326"
Tucson city,Arizona,AZ,"554,013"
Fresno city,California,CA,"550,105"
Sacramento city,California,CA,"535,798"
Atlanta city,Georgia,GA,"520,070"
Mesa city,Arizona,AZ,"517,151"
Kansas City city,Missouri,MO,"516,032"
Raleigh city,North Carolina,NC,"499,825"
Colorado Springs city,Colorado,CO,"493,554"
Omaha city,Nebraska,NE,"489,265"
Miami city,Florida,FL,"487,014"
Virginia Beach city,Virginia,VA,"454,808"
Long Beach city,California,CA,"450,901"
Oakland city,California,CA,"443,554"
Minneapolis city,Minnesota,MN,"428,579"
Bakersfield city,California,CA,"417,468"
Tulsa city,Oklahoma,OK,"415,154"
Tampa city,Florida,FL,"414,547"
Arlington city,Texas,TX,"403,672"
Aurora city,Colorado,CO,"403,130"
Wichita city,Kansas,KS,"400,991"
Cleveland city,Ohio,OH,"365,379"
New Orleans city,Louisiana,LA,"362,701"
Henderson city,Nevada,NV,"350,039"
Urban Honolulu CDP,Hawaii,HI,"344,967"
Anaheim city,California,CA,"344,561"
Orlando city,Florida,FL,"334,854"
Lexington-Fayette urban county,Kentucky,KY,"329,437"
Stockton city,California,CA,"324,975"
Riverside city,California,CA,"323,757"
Irvine city,California,CA,"318,683"
Corpus Christi city,Texas,TX,"317,317"
Newark city,New Jersey,NJ,"317,303"
Santa Ana city,California,CA,"316,184"
Cincinnati city,Ohio,OH,"314,915"
Pittsburgh city,Pennsylvania,PA,"307,668"
St. Paul city,Minnesota,MN,"307,465"
Greensboro city,North Carolina,NC,"307,381"
Jersey City city,New Jersey,NJ,"302,824"
Durham city,North Carolina,NC,"301,870"
Lincoln city,Nebraska,NE,"300,619"
North Las Vegas city,Nevada,NV,"294,034"
Plano city,Texas,TX,"293,286"
Anchorage municipality,Alaska,AK,"289,600"
Gilbert town,Arizona,AZ,"288,790"
Madison city,Wisconsin,WI,"285,300"
Reno city,Nevada,NV,"281,714"
Chandler city,Arizona,AZ,"281,231"
St. Louis city,Missouri,MO,"279,695"
Chula Vista city,California,CA,"278,546"
Buffalo city,New York,NY,"276,617"
Fort Wayne city,Indiana,IN,"273,203"
Lubbock city,Texas,TX,"272,086"
St. Petersburg city,Florida,FL,"267,102"
Toledo city,Ohio,OH,"265,638"
Laredo city,Texas,TX,"261,260"
Port St. Lucie city,Florida,FL,"258,575"
Glendale city,Arizona,AZ,"258,143"
Irving city,Texas,TX,"258,060"
Winston-Salem city,North Carolina,NC,"255,769"
Chesapeake city,Virginia,VA,"254,997"
Garland city,Texas,TX,"250,431"
Scottsdale city,Arizona,AZ,"246,170"
Boise City city,Idaho,ID,"237,963"
Hialeah city,Florida,FL,"235,388"
Frisco city,Texas,TX,"235,208"
Richmond city,Virginia,VA,"233,655"
Cape Coral city,Florida,FL,"233,025"
Norfolk city,Virginia,VA,"231,105"
Spokane city,Washington,WA,"230,609"
Huntsville city,Alabama,AL,"230,402"
Santa Clarita city,California,CA,"229,159"
Tacoma city,Washington,WA,"228,202"
Fremont city,California,CA,"228,192"
McKinney city,Texas,TX,"227,526"
San Bernardino city,California,CA,"224,775"
Baton Rouge city,Louisiana,LA,"220,907"
Modesto city,California,CA,"220,592"
Fontana city,California,CA,"218,455"
Salt Lake City city,Utah,UT,"217,783"
Moreno Valley city,California,CA,"213,919"
Des Moines city,Iowa,IA,"213,096"
Worcester city,Massachusetts,MA,"211,286"
Yonkers city,New York,NY,"211,040"
Fayetteville city,North Carolina,NC,"209,496"
Sioux Falls city,South Dakota,SD,"209,289"
Grand Prairie city,Texas,TX,"207,331"
Rochester city,New York,NY,"207,282"
Tallahassee city,Florida,FL,"205,089"
Little Rock city,Arkansas,AR,"204,774"
Amarillo city,Texas,TX,"203,729"
Overland Park city,Kansas,KS,"202,893"
Columbus city,Georgia,GA,"201,830"
Augusta-Richmond County consolidated government (balance),Georgia,GA,"201,737"
Mobile city,Alabama,AL,"201,367"
Oxnard city,California,CA,"200,616"
Grand Rapids city,Michigan,MI,"200,117"
Peoria city,Arizona,AZ,"199,924"
Vancouver city,Washington,WA,"198,992"
Knoxville city,Tennessee,TN,"198,722"
Birmingham city,Alabama,AL,"196,357"
Montgomery city,Alabama,AL,"195,818"
Providence city,Rhode Island,RI,"194,706"
Huntington Beach city,California,CA,"193,151"
Brownsville city,Texas,TX,"191,967"
Chattanooga city,Tennessee,TN,"191,496"
Fort Lauderdale city,Florida,FL,"190,641"
Tempe city,Arizona,AZ,"190,114"
Akron city,Ohio,OH,"189,664"
Glendale city,California,CA,"187,823"
Clarksville city,Tennessee,TN,"185,690"
Ontario city,California,CA,"185,285"
Newport News city,Virginia,VA,"183,056"
Elk Grove city,California,CA,"182,797"
Cary town,North Carolina,NC,"182,659"
Aurora city,Illinois,IL,"180,710"
Salem city,Oregon,OR,"180,406"
Pembroke Pines city,Florida,FL,"179,326"
Eugene city,Oregon,OR,"178,786"
Santa Rosa city,California,CA,"177,524"
Rancho Cucamonga city,California,CA,"176,675"
Shreveport city,Louisiana,LA,"176,578"
