State_Code,State_Name,County_Name,Population (2020),Area (mi2)
AL,Alabama,Jefferson,674721,1111.28
AL,Alabama,Mobile,414809,1229.44
AL,Alabama,Madison,388153,801.59
AL,Alabama,Baldwin,231767,1589.78
AL,Alabama,Montgomery,228954,784.25
AL,Alabama,Tuscaloosa,227036,1321.75
AL,Alabama,Shelby,223024,784.93
AL,Alabama,Lee,174241,607.54
AL,Alabama,Morgan,123421,579.34
AL,Alabama,Calhoun,116441,605.87
AL,Alabama,Houston,107202,579.82
AL,Alabama,Limestone,103570,559.94
AL,Alabama,Etowah,103436,534.99
AL,Alabama,Marshall,97612,565.84
AL,Alabama,Lauderdale,93564,667.7
AL,Alabama,St. Clair,91103,631.9
AL,Alabama,Elmore,87977,618.48
AL,Alabama,Cullman,87866,734.84
AL,Alabama,Talladega,82149,736.78
AL,Alabama,DeKalb,71608,777.09
AL,Alabama,Walker,65342,791.19
AL,Alabama,Russell,59183,641.14
AL,Alabama,Blount,59134,644.78
AL,Alabama,Autauga,58805,594.44
AL,Alabama,Colbert,57227,592.62
AL,Alabama,Coffee,53465,678.97
AL,Alabama,Jackson,52579,1077.87
AL,Alabama,Dale,49326,561.15
AL,Alabama,Chilton,45014,692.85
AL,Alabama,Tallapoosa,41311,716.52
AL,Alabama,Dallas,38462,978.69
AL,Alabama,Covington,37570,1030.46
AL,Alabama,Escambia,36757,945.08
AL,Alabama,Chambers,34772,596.53
AL,Alabama,Lawrence,33073,690.68
AL,Alabama,Pike,33009,672.09
AL,Alabama,Franklin,32113,633.82
AL,Alabama,Marion,29341,742.29
AL,Alabama,Geneva,26659,574.41
AL,Alabama,Barbour,25223,884.88
AL,Alabama,Cherokee,24971,553.7
AL,Alabama,Winston,23540,612.98
AL,Alabama,Clarke,23087,1238.46
AL,Alabama,Bibb,22293,622.58
AL,Alabama,Randolph,21967,580.55
AL,Alabama,Monroe,19772,1025.67
AL,Alabama,Macon,19532,608.89
AL,Alabama,Marengo,19323,976.88
AL,Alabama,Pickens,19123,881.41
AL,Alabama,Butler,19051,776.83
AL,Alabama,Henry,17146,561.75
AL,Alabama,Fayette,16321,627.66
AL,Alabama,Washington,15388,1080.21
AL,Alabama,Cleburne,15056,560.1
AL,Alabama,Hale,14785,643.94
AL,Alabama,Clay,14236,603.96
AL,Alabama,Lamar,13972,604.85
AL,Alabama,Crenshaw,13194,608.84
AL,Alabama,Choctaw,12665,913.5
AL,Alabama,Sumter,12345,903.89
AL,Alabama,Conecuh,11597,850.16
AL,Alabama,Wilcox,10600,888.5
AL,Alabama,Coosa,10387,650.93
AL,Alabama,Bullock,10357,622.8
AL,Alabama,Lowndes,10311,715.91
AL,Alabama,Perry,8511,719.66
AL,Alabama,Greene,7730,647.11
AK,Alaska,Aleutians East,3420,6985
AK,Alaska,Aleutians West,5232,4393
AK,Alaska,Anchorage,291247,1707
AK,Alaska,Bethel,18666,40627
AK,Alaska,Bristol Bay,844,482
AK,Alaska,Chugach,7102,9530
AK,Alaska,Copper River,2617,24692
AK,Alaska,Denali,1619,12641
AK,Alaska,Dillingham,4857,18334
AK,Alaska,Fairbanks North Star,95655,7335
AK,Alaska,Haines,2080,2343
AK,Alaska,Hoonah–Angoon,2365,6555
AK,Alaska,Juneau,32255,2704
AK,Alaska,Kenai Peninsula,58799,16017
AK,Alaska,Ketchikan Gateway,13948,4857
AK,Alaska,Kodiak Island,13101,6689
AK,Alaska,Kusilvak,8368,17077
AK,Alaska,Lake and Peninsula,1476,23832
AK,Alaska,Matanuska-Susitna,107081,24707
AK,Alaska,Nome,10046,22969
AK,Alaska,North Slope,11031,88824
AK,Alaska,Northwest Arctic,7793,35663
AK,Alaska,Petersburg,3398,2901
AK,Alaska,Prince of Wales – Hyder,5753,5268
AK,Alaska,Sitka,8458,2870
AK,Alaska,Skagway,1240,434
AK,Alaska,Southeast Fairbanks,6808,24831
AK,Alaska,Wrangell,2127,2556
AK,Alaska,Yakutat,662,7623
AK,Alaska,Yukon–Koyukuk,5343,145576
AS,American Samoa,Eastern District,17059,25.69
AS,American Samoa,Manu'a District,832,22.29
AS,American Samoa,Rose Atoll (Rose Island),0,0.02
AS,American Samoa,Swains Island,0,0.94
AS,American Samoa,Western District,31819,27.51
AZ,Arizona,Apache,66021,11218
AZ,Arizona,Cochise,125447,6219
AZ,Arizona,Coconino,145101,18661
AZ,Arizona,Gila,53272,4796
AZ,Arizona,Graham,38533,4641
AZ,Arizona,Greenlee,9563,1848
AZ,Arizona,La Paz,16557,4513
AZ,Arizona,Maricopa,4420568,9224
AZ,Arizona,Mohave,213267,13470
AZ,Arizona,Navajo,106717,9959
AZ,Arizona,Pima,1043433,9189
AZ,Arizona,Pinal,425264,5374
AZ,Arizona,Santa Cruz,47669,1238
AZ,Arizona,Yavapai,236209,8128
AZ,Arizona,Yuma,203881,5519
AR,Arkansas,Arkansas,17149,1033.79
AR,Arkansas,Ashley,19062,939.08
AR,Arkansas,Baxter,41627,586.74
AR,Arkansas,Benton,284333,884.86
AR,Arkansas,Boone,37373,601.82
AR,Arkansas,Bradley,10545,654.38
AR,Arkansas,Calhoun,4739,632.54
AR,Arkansas,Carroll,28260,638.81
AR,Arkansas,Chicot,10208,690.88
AR,Arkansas,Clark,21446,882.6
AR,Arkansas,Clay,14552,641.12
AR,Arkansas,Cleburne,24711,591.91
AR,Arkansas,Cleveland,7550,598.8
AR,Arkansas,Columbia,22801,766.86
AR,Arkansas,Conway,20715,566.66
AR,Arkansas,Craighead,111231,712.98
AR,Arkansas,Crawford,60133,604.2
AR,Arkansas,Crittenden,48163,636.74
AR,Arkansas,Cross,16833,622.33
AR,Arkansas,Dallas,6482,668.16
AR,Arkansas,Desha,11395,819.52
AR,Arkansas,Drew,17350,835.65
AR,Arkansas,Faulkner,123498,664.01
AR,Arkansas,Franklin,17097,619.69
AR,Arkansas,Fulton,12075,620.32
AR,Arkansas,Garland,100180,734.57
AR,Arkansas,Grant,17958,633.01
AR,Arkansas,Greene,45736,579.65
AR,Arkansas,Hempstead,20065,741.36
AR,Arkansas,Hot Spring,33040,622.16
AR,Arkansas,Howard,12785,595.2
AR,Arkansas,Independence,37938,771.57
AR,Arkansas,Izard,13577,584.02
AR,Arkansas,Jackson,16755,641.45
AR,Arkansas,Jefferson,67260,913.7
AR,Arkansas,Johnson,25749,682.74
AR,Arkansas,Lafayette,6308,545.07
AR,Arkansas,Lawrence,16216,592.34
AR,Arkansas,Lee,8600,619.47
AR,Arkansas,Lincoln,12941,572.17
